the	O
Korean	O
version	O
of	O
the	O
Boston	TEST
Naming	TEST
Test	TEST
(	O
K-BNT	TEST
)	O
,	O
the	O
Rey-Osterrieth	TEST
Complex	TEST
Figure	TEST
Test	TEST
(	O
RCFT	TEST
)	O
(	O
copying	O
,	O
immediate	O
and	O
20-min	O
delayed	O
recall	O
and	O
recognition	O
)	O
,	O
the	O
Seoul	TEST
Verbal	TEST
Learning	TEST
Test	TEST
(	O
SVLT	TEST
)	O
(	O
three	O
learning-immediate	O
recall	O
trials	O
of	O
a	O
12	O
item	O
list	O
,	O
a	O
20-min	O
delayed	O
recall	O
trial	O
for	O
the	O
12	O
items	O
and	O
recognition	O
testing	O
)	O
,	O
contrasting	O
program	O
test/go-no-go	O
test	O
,	O
a	O
test	O
of	O
semantic	O
fluency	O
(	O
animals	O
and	O
supermarket	O
items	O
)	O
and	O
letter-phonemic	O
fluency	O
(	O
the	O
Controlled	TEST
Oral	TEST
Word	TEST
Association	TEST
Test	TEST
,	O
or	O
COWAT	TEST
)	O
.	O
All	O
patients	O
and	O
controls	O
underwent	O
the	O
Seoul	TEST
Neuropsychological	TEST
Screening	TEST
Battery	TEST
(	O
SNSB	TEST
)	O
.	O
The	O
Timed	TEST
Up	TEST
&	TEST
Go	TEST
(	O
TUG	TEST
)	O
.	O
The	O
Berg	TEST
Balance	TEST
Scale	TEST
(	O
BBS	TEST
)	O
was	O
used	O
to	O
test	O
balance	O
performance	O
and	O
includes	O
14	O
items	O
common	O
in	O
everyday	O
life	O
.	O
Chair	TEST
Stand	TEST
Test	TEST
score	O
was	O
greater	O
after	O
surgery	O
(	O
p	O
<	O
0.05	O
)	O
.	O
At	O
the	O
same	O
time	O
,	O
the	O
participants	O
performed	O
the	O
TUG	TEST
and	O
CST	TEST
tests	TEST
faster	O
compared	O
to	O
before	O
surgery	O
.	O
Left	O
hippocampal	O
GMV	O
correlated	O
with	O
memory	O
tasks	O
(	O
WMS	TEST
IR	TEST
,	O
WMS	TEST
DR	TEST
,	O
WL	TEST
IR	TEST
,	O
WL	TEST
DR	TEST
)	O
.	O
GMV	O
in	O
the	O
temporal	O
lobe	O
was	O
related	O
to	O
language	O
tasks	O
(	O
BNT	TEST
,	O
VF	TEST
)	O
,	O
frontal	O
,	O
parietal	O
,	O
and	O
occipital	O
GMVs	O
were	O
significantly	O
correlated	O
to	O
tests	O
comprising	O
multiple	O
domains	O
such	O
as	O
executive	O
functions	O
,	O
cognitive	O
speed	O
,	O
and	O
visuoconstruction	O
(	O
TMT-A	TEST
,	O
TMT-B	TEST
,	O
and	O
CDT	TEST
)	O
.	O
orthostatic	O
hypotension	O
and	O
REM	TEST
sleep	O
behavior	O
disorder	O
(	O
RBD	O
)	O
identified	O
the	O
diffuse	O
/	O
malignant	O
subtype	O
.	O
Moreover	O
,	O
PD	O
RBD	TEST
patients	O
showed	O
more	O
severe	O
nigro-striatal	O
dopaminergic	O
impairment	O
compared	O
with	O
PD	O
RBD-patients	TEST
,	O
mainly	O
at	O
caudate	O
level	O
.	O
Brain	O
metabolism	O
progressively	O
decreased	O
(	O
height	O
threshold	O
p	O
<	O
0.01	O
at	O
voxel	O
level	O
with	O
the	O
family-wise	O
error	O
correction	O
(	O
FWE	O
)	O
for	O
multiple	O
comparisons	O
)	O
from	O
controls	O
to	O
PD	O
RBD	TEST
and	O
to	O
PD	O
RBD	TEST
patients	O
in	O
bilateral	O
posterior	O
cortical	O
regions	O
and	O
in	O
MAH	O
frontal	O
regions	O
(	O
FWE-corrected	O
p	O
<	O
0.001	O
at	O
cluster	O
level	O
,	O
Fig.2A	O
,	O
Supplemental	O
Table	O
S1	O
)	O
.	O
We	O
hypothesized	O
that	O
PD	O
patients	O
with	O
probable	O
RDB	TEST
,	O
as	O
identified	O
with	O
a	O
simple	O
questionnaire	O
,	O
exhibit	O
a	O
more	O
severe	O
clinical	O
,	O
neuropsychological	O
and	O
functional	O
neuroimaging	O
phenotype	O
in	O
comparison	O
with	O
PD	O
patients	O
without	O
RBD	TEST
.	O
In	O
this	O
cross-sectional	O
study	O
,	O
we	O
prospectively	O
investigated	O
drug	O
nagetive	O
patients	O
with	O
denovo	O
PD	O
at	O
their	O
first	O
evaluation	O
in	O
a	O
movement	O
disorder	O
unit	O
.	O
At	O
the	O
baseline	O
visit	O
,	O
we	O
performed	O
a	O
first-line	O
clinical	O
,	O
motor	TEST
and	TEST
cognitive	TEST
assessment	TEST
,	O
including	O
the	O
investigation	O
of	O
presence	O
/	O
absence	O
of	O
probable	O
RBD	TEST
.	O
urinary	O
and	O
sexual	O
dysfunction	O
with	O
the	O
clinical	O
interview	O
,	O
the	O
Smell	TEST
Diskettes	TEST
Olfaction	TEST
test	TEST
the	O
Mayo	TEST
sleep	TEST
questionnaire	TEST
(	O
MSQ	TEST
)	O
and	O
a	O
structured	O
clinical	O
interview	O
by	O
a	O
sleep	O
medicine	O
expert	O
to	O
investigate	O
the	O
presence	O
/	O
absence	O
of	O
probable	O
RBD	TEST
(	O
including	O
the	O
question	O
＆	O
Have	O
you	O
ever	O
been	O
told	O
,	O
or	O
suspected	O
yourself	O
.	O
Brain	O
regions	O
in	O
which	O
there	O
were	O
significant	O
correlations	O
between	O
verba-visual	O
learning	O
(	O
Fuld	TEST
Object	TEST
Memory	TEST
Evaluation	TEST
test	TEST
2013	TEST
delay	TEST
)	O
score	O
and	O
gray	O
matter	O
volume	O
(	O
p	O
<	O
0.001	O
,	O
Z	O
>	O
3.09	O
)	O
in	O
48	O
elderly	O
patients	O
with	O
depressive	O
disorder	O
.	O
Bayer	TEST
Activities	TEST
of	TEST
Daily	TEST
Living	TEST
Scale	TEST
(	O
B-ADL	TEST
)	O
.	O
Mini	TEST
Mental	TEST
Status	TEST
Examination	TEST
(	O
MMSE	TEST
)	O
.	O
Episodic	O
memory-verbal	O
:	O
Fuld	TEST
Object	TEST
Memory	TEST
Evaluation	TEST
(	O
FOME	TEST
)	O
(	O
Fuld	O
,	O
1980	O
,	O
Bustamante	O
,	O
2003	O
)	O
,	O
Wechsler	TEST
Memory	TEST
Scale-Revised	TEST
Logical	TEST
Memory	TEST
I	TEST
and	TEST
II	TEST
subtests	TEST
.	O
The	O
volume	O
of	O
gray	O
matter	O
in	O
the	O
left	O
parahippocampal	O
gyrus	O
was	O
also	O
found	O
to	O
correlate	O
significantly	O
with	O
scores	O
on	O
the	O
FOME	TEST
-	O
delayed	O
recall	O
scores	O
,	O
and	O
on	O
the	O
Visual	TEST
reproduction	TEST
I	TEST
tests	TEST
